word,AP 1960-2000,AP All,AP Avg,K5 1960-2000,K5 All,K5 Avg,K7 1960-2000,K7 All,K7 Avg,FREQ 1960,FREQ 1960,FREQ All,FREQ Avg,MEANING GAIN/LOSS 1960-2000,MEANING GAIN/LOSS All
something,29,47,27,0,43,49,6,26,46,23,50,42,51,55,26
man,22,62,57,45,19,27,25,18,44,55,36,32,12,38,62
case,69,62,9,72,65,60,71,67,45,22,59,31,13,0,6
government,52,72,46,52,26,60,54,7,70,27,32,23,14,71,13
company,48,28,77,66,5,73,16,54,17,78,50,76,43,40,8
group,65,56,70,64,12,43,31,64,21,62,23,72,18,46,28
child,12,74,37,68,12,68,22,11,35,64,42,40,26,2,41
eye,17,37,76,60,58,37,67,51,40,53,29,33,26,48,17
world,34,66,39,33,73,42,49,35,70,45,60,22,3,9,21
way,36,11,21,58,19,54,41,36,57,33,4,38,53,74,47
fact,78,76,5,79,42,76,42,37,23,69,3,62,28,36,57
problem,51,73,79,50,79,13,54,71,22,4,43,61,42,47,48
number,69,34,45,49,61,62,23,53,21,65,74,33,60,74,44
place,9,77,46,76,24,52,7,35,55,2,2,20,40,41,19
